date,event name,501 3DA,max min,url
2024,PDC Players Championship Tour,91.5,110.7 74.6,https://leaderboard.dartconnect.com/leaderboard#t-t_591-singles_01_501_si_do-all-all-all-all-all
2024,PDC Qualifying School 2024,78.8,104.9 44.1,https://leaderboard.dartconnect.com/leaderboard#t-t_636-singles_01_501_si_do-all-all-all-all-all
2023,PDC Asia - China Premier League,79.6,94.6 63.4,https://leaderboard.dartconnect.com/leaderboard#t-t_344-singles_01_501_si_do-all-all-all-all-all
2023,PDC Asia - China Series A League,66.2,78.0 53.8,https://leaderboard.dartconnect.com/leaderboard#t-t_346-singles_01_501_si_do-all-all-all-all-all
2023,PDC Challenge Tour,81.7,142.2 49.5,https://leaderboard.dartconnect.com/leaderboard#t-t_366-singles_01_501_si_do-all-all-all-all-all
2023,PDC Development Tour,73.6,113.2 36.4,https://leaderboard.dartconnect.com/leaderboard#t-t_372-singles_01_501_si_do-all-all-all-all-all
2023,PDC Players Championship Tour,92.0,117.5 60.8,https://leaderboard.dartconnect.com/leaderboard#t-t_369-singles_01_501_si_do-all-all-all-all-all
2023,PDC Women's Series,64.3,98.8 30.4,https://leaderboard.dartconnect.com/leaderboard#t-t_375-singles_01_501_si_do-all-all-all-all-all
2023,PDC Qualifying School 2023,78.9,106.2 42.1,https://leaderboard.dartconnect.com/leaderboard#t-t_348-singles_01_501_si_do-all-all-all-all-all
2022,PDC Challenge Tour,81.3,117.0 45.9,https://leaderboard.dartconnect.com/leaderboard#t-t_193-singles_01_501_si_do-all-all-all-all-all
2022,PDC China Premier League,79.1,95.3 59.8,https://leaderboard.dartconnect.com/leaderboard#t-t_292-singles_01_501_si_do-all-all-all-all-all
2022,PDC China Series A League,69.4,88.3 49.0,https://leaderboard.dartconnect.com/leaderboard#t-t_294-singles_01_501_si_do-all-all-all-all-all
2022,PDC Development Tour,72.9,108.9 34.0,https://leaderboard.dartconnect.com/leaderboard#t-t_213-singles_01_501_si_do-all-all-all-all-all
2022,PDC Nordic & Baltic Euro Qualifiers,76.2,94.0 52.1,https://leaderboard.dartconnect.com/leaderboard#t-t_235-singles_01_501_si_do-all-all-all-all-all
2022,PDC Players Championship Tour,92.0,113.2 70.6,https://leaderboard.dartconnect.com/leaderboard#t-t_201-singles_01_501_si_do-all-all-all-all-all
2022,PDC Women's Series,62.1,98.8 28.8,https://leaderboard.dartconnect.com/leaderboard#t-t_243-singles_01_501_si_do-all-all-all-all-all
2022,PDC European Tour Associate Member Qualifiers,79.8,99.2 53.0,https://leaderboard.dartconnect.com/leaderboard#t-t_225-singles_01_501_si_do-all-all-all-all-all
2022,PDC European Tour Host Nation Qualifiers,74.4,101.9 41.8,https://leaderboard.dartconnect.com/leaderboard#t-t_227-singles_01_501_si_do-all-all-all-all-all
2022,PDC European Tour TCH Qualifiers,90.6,143.0 69.9,https://leaderboard.dartconnect.com/leaderboard#t-t_209-singles_01_501_si_do-all-all-all-all-all
2022,PDC Qualifying School 2022,80.1,104.8 34.8,https://leaderboard.dartconnect.com/leaderboard#t-t_187-singles_01_501_si_do-all-all-all-all-all
2021,PDC Challenge Tour,79.6,103.4 44.2,https://leaderboard.dartconnect.com/leaderboard#t-t_148-singles_01_501_si_do-all-all-all-all-all
2021,PDC Development Tour,71.5,125.1 39.0,https://leaderboard.dartconnect.com/leaderboard#t-t_146-singles_01_501_si_do-all-all-all-all-all
2021,PDC Nordic & Baltic Pro Tour,68.5,95.0 34.6,https://leaderboard.dartconnect.com/leaderboard#t-t_168-singles_01_501_si_do-all-all-all-all-all
2021,PDC Players Championship Tour,92.2,112.3 60.0,https://leaderboard.dartconnect.com/leaderboard#t-t_133-singles_01_501_si_do-all-all-all-all-all
2021,PDC Women's Series,63.6,95.8 34.5,https://leaderboard.dartconnect.com/leaderboard#t-t_176-singles_01_501_si_do-all-all-all-all-all
2021,PDC ET Associate Member Qualifiers,78.1,101.0 56.0,https://leaderboard.dartconnect.com/leaderboard#t-t_160-singles_01_501_si_do-all-all-all-all-all
2021,PDC European Tour UK Qualifiers,89.3,104.3 77.0,https://leaderboard.dartconnect.com/leaderboard#t-t_164-singles_01_501_si_do-all-all-all-all-all
2021,PDC UK Associate Member Qualifiers,77.5,94.8 49.4,https://leaderboard.dartconnect.com/leaderboard#t-t_170-singles_01_501_si_do-all-all-all-all-all
2021,PDC Qualifying School 2021,79.5,105.8 43.0,https://leaderboard.dartconnect.com/leaderboard#t-t_125-singles_01_501_si_do-all-all-all-all-all
2020,PDC Players Championship Tour,91.9,162.8 30.6,https://leaderboard.dartconnect.com/leaderboard#t-t_106-singles_01_501_si_do-all-all-all-all-all
2020,PDC Challenge Tour,81.2,104.9 46.5,https://leaderboard.dartconnect.com/leaderboard#t-t_85-singles_01_501_si_do-all-all-all-all-all
2020,PDC Development Tour,73.2,103.2 35.1,https://leaderboard.dartconnect.com/leaderboard#t-t_88-singles_01_501_si_do-all-all-all-all-all
2020,PDC Nordic & Baltic Pro Tour,72.8,96.6 52.4,https://leaderboard.dartconnect.com/leaderboard#t-t_108-singles_01_501_si_do-all-all-all-all-all
2020,PDC Qualifying School 2020,78.1,103.8 41.4,https://leaderboard.dartconnect.com/leaderboard#t-t_84-singles_01_501_si_do-all-all-all-all-all
2020,PDC Nordic & Baltic Euro Qualifier,76.3,94.7 52.1,https://leaderboard.dartconnect.com/leaderboard#t-t_80-singles_01_501_si_do-all-all-all-all-all
2020,PDC European Tour - Card Holder Qualifiers,84.6,104.9 50.0,https://leaderboard.dartconnect.com/leaderboard#t-t_91-singles_01_501_si_do-all-all-all-all-all
2020,CDC Qualifying School,65.2,90.4 42.2,https://leaderboard.dartconnect.com/leaderboard#t-t_74-singles_01_501_si_do-all-all-all-all-all
2020,Dart Players Australia,68.9,101.4 40.9,https://leaderboard.dartconnect.com/leaderboard#t-t_93-singles_01_501_si_do-all-all-all-all-all
2024,African Continental Tour,59.0,95.9 26.9,https://leaderboard.dartconnect.com/leaderboard#t-t_705-singles_01_501_si_do-all-all-all-all-all
2024,African Dart Series - Q-School,46.0,80.4 20.5,https://leaderboard.dartconnect.com/leaderboard#t-t_696-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Africa Women's Series,42.1,63.0 28.4,https://leaderboard.dartconnect.com/leaderboard#t-t_733-singles_01_501_si_do-all-all-all-all-all
2024,PDC Asian Tour,70.7,104.3 27.9,https://leaderboard.dartconnect.com/leaderboard#t-t_666-singles_01_501_si_do-all-all-all-all-all
2024,PDC China Premier League,78.9,95.2 65.0,https://leaderboard.dartconnect.com/leaderboard#t-t_766-singles_01_501_si_do-all-all-all-all-all
2024,Steel Darts Japan 2024,71.0,99.8 35.1,https://leaderboard.dartconnect.com/leaderboard#t-t_814-singles_01_501_si_do-all-all-all-all-all
2024,2024 UK & EU,57.5,76.3 33.8,https://leaderboard.dartconnect.com/leaderboard#t-t_639-singles_01_501_si_do-all-all-all-all-all
2024,Amsterdam Summer Ranking,"",https://leaderboard.dartconnect.com/leaderboard#t-t_832-singles_01_501_si_do-all-all-all-all-all
2024,Asas Adatas 2024,48.5,76.3 24.9,https://leaderboard.dartconnect.com/leaderboard#t-t_657-singles_01_301_di_do-all-all-all-all-all
2024,Asas Adatas Premier 2024,68.7,89.5 52.3,https://leaderboard.dartconnect.com/leaderboard#t-t_660-singles_01_501_si_do-all-all-all-all-all
2024,Athens Darts Union,60.1,87.1 33.0,https://leaderboard.dartconnect.com/leaderboard#t-t_775-singles_01_501_si_do-all-all-all-all-all
2024,Dansk Darts Superliga,69.6,85.4 41.3,https://leaderboard.dartconnect.com/leaderboard#t-t_793-singles_01_501_si_do-all-all-all-all-all
2024,Darts Point Bulls League - BiH,60.1,78.2 44.8,https://leaderboard.dartconnect.com/leaderboard#t-t_802-singles_01_501_si_do-all-all-all-all-all
2024,Darts Point Bulls League - Croatia,64.9,92.5 42.7,https://leaderboard.dartconnect.com/leaderboard#t-t_799-singles_01_501_si_do-all-all-all-all-all
2024,Darts Point Bulls League - Serbia,64.5,83.3 45.2,https://leaderboard.dartconnect.com/leaderboard#t-t_796-singles_01_501_si_do-all-all-all-all-all
2024,Darts Point Bulls League - Slovenia,61.9,81.8 41.7,https://leaderboard.dartconnect.com/leaderboard#t-t_805-singles_01_501_si_do-all-all-all-all-all
